ID,Músicas,Tipo,Cantor,Está no drive?,Status,Classificação
1,A alegria do Senhor - Fernandinho,Celebração,Masculina,,,1 - Agradecimento
2,A bênção - Gabriel Guedes e Nívea ,Adoração,Dueto,,,6 - Intercessão
3,A casa é sua - Casa Worship,Adoração,Dueto,Cifra no drive,,2 - Santificação
4,A Ele a glória - Gabriela Rocha,Adoração,Feminina,Cifra no drive,,5 - Adoração
5,Agindo Deus - Fernandinho,Celebração,Masculina,Cifra no drive,*,1 - Agradecimento
6,Agnus Dei - David Quilan,Adoração,Masculina,Cifra no drive,,5 - Adoração
7,Águas profundas - David Quilan,Celebração,Masculina,,*,1 - Entrega
8,Alfa e Ômega - Mariane Almeida,Adoração,Feminina,,,5 - Adoração
9,Algo novo - Kemuel,Adoração,Dueto,Cifra no drive,,3 - Clamor p/ presença
10,Alvo mais que a neve - Fernandinho,Adoração,Masculina,,*,2 - Purificação
11,A mensagem da cruz ,Adoração,Masculina,,,2 - Purificação
12,Anseio - Diante do trono,Adoração,Feminina,Cifra no drive,,3 - Clamor p/ presença
13,Ao erguermos as mãos - Aline Barros,Adoração,Feminina,,,5 - Adoração
14,Ao que está assentado sobre o trono - Davi Fernandes,Adoração,Masculina,,*,5 - Adoração
15,Até que o Senhor venha - Ministério Zoe,Adoração,Feminina,,,3 - Clamor p/ presença
16,Atos 2 - Gabriela Rocha,Adoração,Feminina,Cifra no drive,,3 - Clamor p/ presença
17,Atos 2 / Ele é exaltado - Gabriel Guedes,Adoração,Masculina,,,3 - Clamor p/ presença
18,Aumenta o fogo - Nívea Soares,Celebração,Feminina,Cifra no drive,,1 - Entrega
19,A vitória da cruz / Mais que vencedor - DT,Celebração,Dueto,Cifra no drive,*,1 - Entrega
20,Aviva-nos / A Terra clama - Davi Fernandes,Adoração,Masculina,,,3 - Clamor p/ presença
21,Batiza-me - Fernandinho,Adoração,Masculina,,,2 - Purificação
22,Caia fogo - Fernandinho,Adoração,Dueto,Cifra no drive,,6 - Intercessão
23,Cadeias quebrar,Adoração,Dueto,,,6 - Intercessão
24,Caminho no deserto - Viva Adoração Music,Adoração,Masculina,,,4 - Entrando na presença
25,Canção ao Cordeiro - Israel Salazar,Misto,Masculina,Cifra no drive,,4 - Entrando na presença
26,Canção do apocalipse - Diante do trono,Adoração,Feminina,,,5 - Adoração
27,Céu e Terra se encontram - Davi Fernandes,Adoração,Masculina,Cifra no drive,,4 - Entrando na presença
28,Creio que Tu és a cura - Rodrigo Soeiro,Adoração,Masculina,Cifra no drive,*,6 - Intercessão
29,"Cristo, filho do Deus vivo - Nívea Soares",Celebração,Feminina,,,1 - Entrega
30,Dançar na chuva - Fernandinho,Celebração,Masculina,,,1 - Entrega
31,Deus não está morto - Fernandinho,Celebração,Masculina,Cifra no drive,*,1 - Agradecimento
32,Diante de ti - Quatro por um,Celebração,Masculina,,*,1 - Agradecimento
33,Efésios - Fernanda Brum,Misto,Feminina,Cifra no drive,,6 - Intercessão
,Eis que estou à porta - Fernandinho ,Celebração,Masculina,Cifra no drive,,1 - Agradecimento
34,Ele é exaltado,Adoração,Masculina,,*,5 - Adoração
35,Ele nos ama/Me ama - Diante do trono,Adoração,Feminina,,*,4 - Entrando na presença
36,Emanuel - Fernandinho ,Celebração,Masculina,,,1 - Agradecimento
37,Em tempos de crise - Brunno Mendes,Adoração,Masculina,,*,2 - Purificação
38,Em teus braços - Laura Souguellis,Adoração,Feminina,,,2 - Purificação
39,Escudo e proteção - Diante do trono,Adoração,Masculina,,*,2 - Purificação
40,Essência da adoração - David Q.,Adoração,Dueto,Cifra no drive,,2 - Santificação
41,Estamos de pé - Marcus Salles,Celebração,Masculina,,,1 - Entrega
42,É tudo sobre você - Morada,Adoração,Masculina,,,4 - Entrando na presença
43,Eu amo a Tua casa,Celebração,Masculina,,*,1 - Entrega
44,Eu era órfão - Cia. Salt,Adoração,Masculina,,*,2 - Santificação
45,Eu me rendo - Ministério mergulhar,Adoração,Masculina,Cifra no drive,,3 - Clamor p/ presença
46,Eu navegarei,Adoração,Dueto,Cifra no drive,,5 - Adoração
47,Eu sou livre - David Quinlan,Celebração,Masculina,,,1 - Entrega
48,Eu vou construir - Ministério Livres para adorar,Adoração,Masculina,Cifra no drive,,4 - Entrando na presença
49,Galileu - Fernandinho,Celebração,Masculina,,,1 - Entrega
50,Graça - Israel Salazar,Celebração,Masculina,Cifra no drive,,1 - Entrega
51,Grande é o Senhor / A honra,Adoração,Dueto,Cifra no drive,*,5 - Adoração
52,Há um lugar - Heloísa Rosa,Adoração,Feminina,,*,2 - Purificação
53,Imensurável - Aline Barros,Adoração,Feminina,Cifra no drive,,2 - Purificação
54,Infinitamente mais - Fernandinho,Celebração,Masculina,,,1 - Agradecimento
55,Isaías 9 - Rodolfo Abrantes ,Adoração,Masculina,Cifra no drive,,5 - Adoração
,Jeová Jireh - Aline Barros,Adoração,Dueto,,,2 - Purificação
56,Jesus em tua presença - Morada,Celebração,Masculina,Cifra no drive,,1 - Agradecimento
57,"Jesus, filho de Deus - Fernandinho",Adoração,Masculina,Cifra no drive,,5 - Adoração
58,"Jesus, o plano perfeito - Renascer Praise",Adoração,Masculina,,,2 - Purificação
59,Leão - Gabriela Rocha,Celebração,Feminina,Cifra no drive,,1 - Entrega
60,Levanto um aleluia - Diante do trono e Isaias Saad,Celebração,Dueto,Cifra no drive,*,2 - Purificação
61,Liberdade - Laura Souguellis,Adoração,Feminina,,,4 - Entrando na presença
62,Lindo és,Adoração,Masculina,,*,5 - Adoração
63,Lugar secreto - Gabriela Rocha,Adoração,Feminina,,*,3 - Clamor p/ presença
64,Majestoso - Vinícius Guimarães,Adoração,Masculina,Cifra no drive,*,5 - Adoração
65,Maranata - Ministério Avivah,Misto,Feminina,Cifra no drive,,6 - Intercessão
66,Maravilhosa graça - Geraldo Graça,Adoração,Masculina,,*,2 - Purificação
67,Me atraiu - Gabriela Rocha,Adoração,Feminina,,,5 - Adoração
68,Minhas Guerras - Brasa Church,Misto,Feminina,,,6 - Intercessão
69,Muralhas - André Valadão,Celebração,Masculina,,*,6 - Intercessão
70,Não mais escravos - Fernandinho,Adoração,Masculina,Cifra no drive,,2 - Purificação
71,Não seremos abalados - Nívea Soares,Adoração,Feminina,Cifra no drive,*,6 - Intercessão
72,No meio dos louvores - Israel Salazar,Celebração,Masculina,Cifra no drive,,1 - Agradecimento
73,O carpinteiro - Alessandro Vilas Boas,Adoração,Masculina,,,3 - Clamor p/ presença
74,O grande Eu Sou - Gilmar Britto,Adoração,Masculina,,*,6 - Pedido/Intercessão
75,O grito - Ministério Pedras Vivas,Adoração,Dueto,,,2 - Purificação
76,O hino - Fernandinho,Adoração,Masculina,,*,3 - Clamor p/ presença
77,O leão e a igreja - Preto no Branco,Misto,Feminina,Cifra no drive,,2 - Purificação
78,O Senhor é bom - Nívea Soares,Misto,Feminina,,*,1 - Agradecimento
79,"Oh, quão lindo esse nome é - Kemuel",Adoração,Feminina,Cifra no drive,,5 - Adoração
80,Os que esperam - Nívea Soares,Celebração,Feminina,Cifra no drive,*,1 - Agradecimento
